symbol,date,open,high,low,close,volume,adjusted
AAPL,2021-07-16,148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,93251400,142.57093811035156
AAPL,2021-07-19,143.75,144.07000732421875,141.6699981689453,142.4499969482422,121434600,138.7338104248047
AAPL,2021-07-20,143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,96350000,142.33724975585938
AAPL,2021-07-21,145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,74993500,141.60679626464844
AAPL,2021-07-22,145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,77338200,142.97027587890625
AAPL,2021-07-23,147.5500030517578,148.72000122070312,146.9199981689453,148.55999755859375,71447400,144.68438720703125
AAPL,2021-07-26,148.27000427246094,149.8300018310547,147.6999969482422,148.99000549316406,72434100,145.10311889648438
AAPL,2021-07-27,149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,104818600,142.9410858154297
AAPL,2021-07-28,144.80999755859375,146.97000122070312,142.5399932861328,144.97999572753906,118931200,141.19776916503906
AAPL,2021-07-29,144.69000244140625,146.5500030517578,144.5800018310547,145.63999938964844,56699500,141.84054565429688
AAPL,2021-07-30,144.3800048828125,146.3300018310547,144.11000061035156,145.86000061035156,70440600,142.0548095703125
NFLX,2021-01-04,53.900001525878906,54.08000183105469,51.50899887084961,52.2859992980957,44444000,52.2859992980957
NFLX,2021-01-05,52.154998779296875,52.678001403808594,51.5890007019043,52.08000183105469,31339000,52.08000183105469
NFLX,2021-01-06,51.196998596191406,51.310001373291016,49.95000076293945,50.04899978637695,53462000,50.04899978637695
NFLX,2021-01-07,50.827999114990234,51.64400100708008,50.641998291015625,50.888999938964844,36864000,50.888999938964844
NFLX,2021-01-08,51.13100051879883,51.32400131225586,50.45100021362305,51.040000915527344,29739000,51.040000915527344
NFLX,2021-01-11,50.784000396728516,51.073001861572266,49.79499816894531,49.90999984741211,38062000,49.90999984741211
NFLX,2021-01-12,50,50.10900115966797,48.56700134277344,49.42499923706055,59904000,49.42499923706055
NFLX,2021-01-13,49.54999923706055,51.23500061035156,49.30099868774414,50.77899932861328,50321000,50.77899932861328
NFLX,2021-01-14,50.73500061035156,51.45000076293945,49.95800018310547,50.08599853515625,41774000,50.08599853515625
NFLX,2021-01-15,50,50.63199996948242,49.5099983215332,49.79800033569336,58958000,49.79800033569336
NFLX,2021-01-19,50.099998474121094,50.92499923706055,49.354000091552734,50.176998138427734,123158000,50.176998138427734
NFLX,2021-01-20,56.54199981689453,59.32899856567383,55.68600082397461,58.63399887084961,326375000,58.63399887084961
NFLX,2021-01-21,58.244998931884766,58.875,57.040000915527344,57.98400115966797,118021000,57.98400115966797
NFLX,2021-01-22,58.209999084472656,58.39899826049805,56.435001373291016,56.516998291015625,75508000,56.516998291015625
NFLX,2021-01-25,56.70000076293945,56.974998474121094,54.8650016784668,55.678001403808594,72073000,55.678001403808594
NFLX,2021-01-26,55.472999572753906,56.79899978637695,55.40599822998047,56.19300079345703,50238000,56.19300079345703
NFLX,2021-01-27,55.07099914550781,55.641998291015625,51.573001861572266,52.327999114990234,86703000,52.327999114990234
NFLX,2021-01-28,53.5880012512207,55.314998626708984,53.07400131225586,53.86000061035156,59690000,53.86000061035156
NFLX,2021-01-29,53.79999923706055,54.099998474121094,53.018001556396484,53.23899841308594,43253000,53.23899841308594
NFLX,2021-02-01,53.67900085449219,54.50600051879883,53.17300033569336,53.90399932861328,35475000,53.90399932861328
NFLX,2021-02-02,54.20100021362305,55.54800033569336,53.893001556396484,54.816001892089844,37676000,54.816001892089844
NFLX,2021-02-03,55.016998291015625,55.04800033569336,53.82400131225586,53.94499969482422,31723000,53.94499969482422
NFLX,2021-02-04,53.98099899291992,55.948001861572266,53.750999450683594,55.215999603271484,51645000,55.215999603271484
NFLX,2021-02-05,55.22600173950195,55.444000244140625,54.54800033569336,55.07899856567383,23762000,55.07899856567383
NFLX,2021-02-08,55.5,55.5,54.369998931884766,54.79199981689453,27917000,54.79199981689453
NFLX,2021-02-09,54.599998474121094,56.599998474121094,54.29999923706055,55.90700149536133,37035000,55.90700149536133
NFLX,2021-02-10,56.25,56.665000915527344,55.34600067138672,56.35900115966797,39913000,56.35900115966797
NFLX,2021-02-11,56.444000244140625,56.59299850463867,55.422000885009766,55.75899887084961,27306000,55.75899887084961
NFLX,2021-02-12,55.694000244140625,56.125,55.084999084472656,55.652000427246094,21971000,55.652000427246094
NFLX,2021-02-16,55.729000091552734,56.362998962402344,55.27299880981445,55.72800064086914,26241000,55.72800064086914
NFLX,2021-02-17,55.0989990234375,55.525001525878906,54.303001403808594,55.13399887084961,20696000,55.13399887084961
NFLX,2021-02-18,54.900001525878906,55,53.823001861572266,54.821998596191406,24562000,54.821998596191406
NFLX,2021-02-19,54.79999923706055,54.89899826049805,53.88100051879883,54.02199935913086,28415000,54.02199935913086
